,Country_Region,Population Density (per sq. km),HDI,hospibed,Age Dependency Ratio (65+/Working Age),Physician_per_thousand,cluster
4,Argentina,16.2585101,0.825,5.0,17.520503679904802,3.96,3
5,Armenia,103.6802248,0.755,4.2,16.3355588056196,3.924,3
6,Australia,3.249129487,0.939,3.8,23.675412531747494,3.5874,3
7,Austria,107.2069267,0.908,7.6,28.7849528312483,5.1441,3
12,Barbados,666.6069767000001,0.8,5.8,22.659092596717898,2.4886,3
13,Belarus,46.7287999,0.8079999999999999,11.0,21.617685286412506,4.98,3
14,Belgium,377.2149273,0.916,6.2,28.866309537673203,3.9,3
19,Bosnia and Herzegovina,64.92048828,0.768,3.5,23.908613213288106,2.0003,3
22,Bulgaria,64.70353721,0.813,6.8,32.019888007588,3.9879,3
27,Canada,4.075308214,0.926,2.7,25.353318603269898,2.6102,3
37,Croatia,73.077198,0.831,5.6,30.073198466627602,3.1244,3
38,Cuba,108.9995962,0.777,5.2,21.288534853917803,8.19,3
39,Cyprus,128.7083333,0.8690000000000001,3.4,19.234106891530896,2.55,3
40,Czechia,137.60288789999998,0.888,6.5,29.004866718299304,4.314,3
41,Denmark,138.0673017,0.929,2.5,30.823966183505398,4.4567,3
49,Estonia,30.38610536,0.871,5.0,30.3085828262932,4.3728,3
52,Finland,18.15685565,0.92,4.4,34.0391176106056,3.808,3
53,France,122.3383957,0.901,6.5,31.702134820304604,3.6746,3
56,Georgia,65.27520207,0.78,2.6,22.5369112514664,5.192,3
57,Germany,237.37096980000004,0.936,8.3,32.7671018463102,4.2087,3
59,Greece,83.22473235,0.87,4.3,31.1920457704462,6.1082,3
67,Hungary,107.9066055,0.838,7.0,27.6834653598844,3.8435,3
68,Iceland,3.526922693,0.935,3.2,22.0393441449182,3.9701,3
73,Ireland,70.45298302,0.938,2.8,21.6149982686568,3.187,3
74,Israel,410.5268022,0.903,3.1,19.4245475115702,4.8555,3
75,Italy,205.4507479,0.88,3.4,36.2760747911724,4.4,3
77,Japan,347.0734584,0.909,13.4,45.0324672314688,2.4118,3
81,"Korea, South",529.6521036,0.903,11.5,19.1621671978778,2.3661,3
84,Latvia,30.98330653,0.847,5.8,30.466410675346605,4.6934,3
88,Lithuania,44.53135138,0.858,7.3,28.7155814256734,4.337,3
89,Luxembourg,250.0938272,0.904,4.8,20.6683385972647,3.0266,3
94,Malta,1511.03125,0.878,4.7,29.367977801893602,3.88,3
100,Montenegro,46.27100372,0.8140000000000001,4.0,21.993513720515597,2.3337,3
105,Netherlands,511.4579104,0.931,4.7,28.9757730893801,3.921,3
106,New Zealand,18.55417569,0.917,2.8,23.6036633000615,3.0252,3
110,Norway,14.55491954,0.953,3.9,25.719030214826997,4.6336,3
117,Poland,124.0358862,0.865,6.5,24.499863583677,2.469,3
118,Portugal,112.2394535,0.847,3.4,33.1500873619739,4.3964,3
120,Romania,84.63984701,0.8109999999999999,6.3,26.687741997042107,2.6324,3
121,Russia,498.6598703,0.816,8.2,20.7845994935077,4.309,3
126,Serbia,79.83174022,0.787,5.7,26.2404480160987,3.125,3
129,Slovakia,113.2905782,0.855,4.8,21.664700076241196,3.1,3
130,Slovenia,102.6398595,0.8959999999999999,4.6,28.8920505590167,2.9953,3
132,Spain,93.52905826,0.8909999999999999,3.0,29.504459393164506,4.7128,3
135,Sweden,25.00104343,0.933,2.6,31.986428037615298,5.3996,3
136,Switzerland,215.5213784,0.944,4.7,27.644500917740306,4.2363,3
149,US,35.76608858,0.924,2.9,23.46961267658,2.9401,3
145,Ukraine,77.02966735,0.7509999999999999,8.8,24.1923998359245,4.407,3
147,United Kingdom,274.8273922,0.922,2.8,29.0367909095512,2.8058,3
148,Uruguay,19.70802765,0.804,2.8,22.796753484613,5.0499,3
