,Country_Region,Date,ConfirmedCases
0,Afghanistan,2020-01-22,0.0
5456,Afghanistan,2020-02-12,0.0
5458,Afghanistan,2020-02-10,0.0
5459,Afghanistan,2020-02-09,0.0
5460,Afghanistan,2020-02-08,0.0
5461,Afghanistan,2020-02-07,0.0
5462,Afghanistan,2020-02-20,0.0
5455,Afghanistan,2020-02-13,0.0
5463,Afghanistan,2020-02-06,0.0
5465,Afghanistan,2020-02-03,0.0
5466,Afghanistan,2020-02-02,0.0
5467,Afghanistan,2020-02-01,0.0
5468,Afghanistan,2020-01-31,0.0
5469,Afghanistan,2020-01-30,0.0
5470,Afghanistan,2020-01-29,0.0
5464,Afghanistan,2020-02-04,0.0
5454,Afghanistan,2020-02-14,0.0
5453,Afghanistan,2020-02-15,0.0
5452,Afghanistan,2020-02-16,0.0
11825,Afghanistan,2020-04-02,273.0
11739,Afghanistan,2020-04-01,237.0
11529,Afghanistan,2020-03-31,174.0
11515,Afghanistan,2020-03-30,170.0
11302,Afghanistan,2020-03-29,120.0
11242,Afghanistan,2020-03-27,110.0
11240,Afghanistan,2020-03-28,110.0
11119,Afghanistan,2020-03-26,94.0
11036,Afghanistan,2020-03-25,84.0
10958,Afghanistan,2020-03-24,74.0
10546,Afghanistan,2020-03-23,40.0
10545,Afghanistan,2020-03-22,40.0
5449,Afghanistan,2020-02-19,0.0
5450,Afghanistan,2020-02-18,0.0
5451,Afghanistan,2020-02-17,0.0
5471,Afghanistan,2020-01-28,0.0
11845,Afghanistan,2020-04-03,281.0
5472,Afghanistan,2020-01-27,0.0
5474,Afghanistan,2020-01-25,0.0
8836,Afghanistan,2020-03-09,4.0
7746,Afghanistan,2020-03-02,1.0
7745,Afghanistan,2020-03-01,1.0
7744,Afghanistan,2020-02-29,1.0
7743,Afghanistan,2020-02-28,1.0
7742,Afghanistan,2020-02-27,1.0
8887,Afghanistan,2020-03-08,4.0
7741,Afghanistan,2020-02-26,1.0
7739,Afghanistan,2020-02-24,1.0
7737,Afghanistan,2020-03-04,1.0
7728,Afghanistan,2020-03-03,1.0
7727,Afghanistan,2020-03-05,1.0
7715,Afghanistan,2020-03-06,1.0
7707,Afghanistan,2020-03-07,1.0
7740,Afghanistan,2020-02-25,1.0
9014,Afghanistan,2020-03-10,5.0
9153,Afghanistan,2020-03-13,7.0
9194,Afghanistan,2020-03-12,7.0
5475,Afghanistan,2020-01-24,0.0
5476,Afghanistan,2020-01-23,0.0
5477,Afghanistan,2020-02-05,0.0
5479,Afghanistan,2020-02-21,0.0
5480,Afghanistan,2020-02-23,0.0
10211,Afghanistan,2020-03-21,24.0
10204,Afghanistan,2020-03-20,24.0
5494,Afghanistan,2020-02-22,0.0
10135,Afghanistan,2020-03-19,22.0
10130,Afghanistan,2020-03-17,22.0
10128,Afghanistan,2020-03-18,22.0
10114,Afghanistan,2020-03-16,21.0
9932,Afghanistan,2020-03-15,16.0
9554,Afghanistan,2020-03-14,11.0
9210,Afghanistan,2020-03-11,7.0
5473,Afghanistan,2020-01-26,0.0
11874,Afghanistan,2020-04-04,299.0
5457,Afghanistan,2020-02-11,0.0
9516,Albania,2020-03-10,10.0
5393,Albania,2020-03-05,0.0
5392,Albania,2020-03-06,0.0
10822,Albania,2020-03-18,59.0
5407,Albania,2020-02-20,0.0
5408,Albania,2020-02-19,0.0
5409,Albania,2020-02-18,0.0
5410,Albania,2020-02-17,0.0
5406,Albania,2020-02-21,0.0
5391,Albania,2020-03-07,0.0
5412,Albania,2020-02-15,0.0
11194,Albania,2020-03-23,104.0
5509,Albania,2020-01-27,0.0
11884,Albania,2020-04-03,304.0
5390,Albania,2020-03-08,0.0
5500,Albania,2020-01-22,0.0
5499,Albania,2020-01-23,0.0
5411,Albania,2020-02-16,0.0
11080,Albania,2020-03-22,89.0
5405,Albania,2020-02-22,0.0
5404,Albania,2020-02-23,0.0
11696,Albania,2020-03-30,223.0
10774,Albania,2020-03-17,55.0
5397,Albania,2020-03-01,0.0
11313,Albania,2020-03-24,123.0
5395,Albania,2020-03-03,0.0
5398,Albania,2020-02-29,0.0
5399,Albania,2020-02-28,0.0
10727,Albania,2020-03-16,51.0
5400,Albania,2020-02-27,0.0
5401,Albania,2020-02-26,0.0
5402,Albania,2020-02-25,0.0
10974,Albania,2020-03-21,76.0
5403,Albania,2020-02-24,0.0
11530,Albania,2020-03-26,174.0
11424,Albania,2020-03-25,146.0
5394,Albania,2020-03-04,0.0
11661,Albania,2020-03-29,212.0
5396,Albania,2020-03-02,0.0
