,Country_Region,Population Density (per sq. km),HDI,Total Testing,hospibed,pop,Age Dependency Ratio (65+/Working Age),Physician_per_thousand,Lockdown Date
0,Afghanistan,56.93776001,0.498,,0.5,38928346.0,4.763322814878401,0.3039,24/03/2020
74,Albania,104.6122628,0.785,,2.9,2877797.0,18.997890337666302,1.65,08/03/2020
148,Algeria,17.73007507,0.754,,1.9,43851044.0,9.62836054340959,1.83,24/03/2020
222,Andorra,163.8425532,0.858,,2.5,77265.0,,4.0,16/03/2020
296,Angola,24.71305206,0.581,,,,4.734531164554901,0.2149,24/03/2020
370,Antigua and Barbuda,218.83181820000001,0.78,,3.8,97929.0,10.0219655636647,3.03,
444,Argentina,16.2585101,0.825,,5.0,45195774.0,17.520503679904802,3.96,20/03/2020
518,Armenia,103.6802248,0.755,813.0,4.2,2963243.0,16.3355588056196,3.924,24/03/2020
592,Australia,3.249129487,0.9390000000000001,113615.0,3.8,25499884.0,23.675412531747497,3.5874,24/03/2020
666,Austria,107.2069267,0.9079999999999999,15613.0,7.6,9006398.0,28.7849528312483,5.1441,16/03/2020
740,Azerbaijan,120.26531990000001,0.757,,4.7,10139177.0,8.51116157728265,3.99,02/03/2020
814,Bahamas,38.52547453,0.807,,2.9,393244.0,12.7509608214306,2.7158,20/03/2020
888,Bahrain,2017.2737,0.846,18645.0,6.8,1701575.0,3.04468036618035,1.315,25/02/2020
962,Bangladesh,1239.5793119999998,0.608,,0.8,164689383.0,7.6628416033947095,0.5268,19/03/2020
1036,Barbados,666.6069767000001,0.8,,5.8,287375.0,22.659092596717898,2.4886,28/03/2020
1110,Belarus,46.7287999,0.8079999999999999,16000.0,11.0,9449323.0,21.617685286412502,4.98,
1184,Belgium,377.2149273,0.9159999999999999,18360.0,6.2,11589623.0,28.866309537673203,3.9,17/03/2020
1258,Belize,16.79399386,0.708,,1.3,397628.0,5.95213551159089,1.1494,30/03/2020
1332,Benin,101.8539198,0.515,,0.5,12123200.0,5.998464426458651,0.1646,
1406,Bhutan,19.77752777,0.612,,1.7,771608.0,7.12408869850706,0.3748,06/03/2020
1480,Bolivia,10.48014585,0.693,,1.1,11673021.0,10.8728267092337,1.6111,12/03/2020
1554,Bosnia and Herzegovina,64.92048828,0.768,,3.5,3280819.0,23.908613213288103,2.0003,11/03/2020
1628,Botswana,3.977424876,0.7170000000000001,,,,6.096089285931231,0.4065,02/04/2020
1702,Brazil,25.06171624,0.759,2927.0,2.2,212559417.0,12.270187640806,2.1502,
1776,Brunei,81.39696395,0.853,,2.7,437479.0,6.3420041764417805,1.7701,
1850,Bulgaria,64.70353721,0.813,,6.8,6948445.0,32.019888007588,3.9879,13/03/2020
1924,Burkina Faso,72.19128289,0.423,,0.4,20903273.0,4.5957429802875795,0.06,21/03/2020
1998,Burma,82.23861548,0.578,,0.9,53370000.0,8.49920084303933,0.8640000000000001,
2072,Burundi,435.178271,0.41700000000000004,,,,4.885961469741019,0.059000000000000004,
2146,Cabo Verde,134.9297767,0.654,,2.1,554441.0,,0.7694,
2220,Cambodia,92.05641287,0.5820000000000001,,0.8,16718965.0,6.8610804293084,0.4759,28/03/2020
2294,Cameroon,53.34398891,0.556,,1.3,26545863.0,5.84921312321064,0.1842,
2368,Canada,4.075308214,0.9259999999999999,113121.0,2.7,37742154.0,25.353318603269898,2.6102,12/03/2020
2442,Central African Republic,7.490412212000001,0.36700000000000005,,1.0,37742154.0,6.876589840126551,0.0816,
2516,Chad,12.29173364,0.40399999999999997,,0.4,16302699.0,4.934993782442651,0.0475,
2590,Chile,25.18944607,0.843,,2.2,19116201.0,16.1618782912402,1.153,26/03/2020
2664,China,148.34883330000002,0.752,320000.0,4.2,1439323776.0,14.8453642785515,1.7855,23/01/2020
2738,Colombia,44.74870212,0.747,4103.0,1.5,50882891.0,11.102014041498599,2.0835,25/03/2020
2812,Congo (Brazzaville),15.35684627,0.606,,1.6,5518087.0,6.26222770127439,0.7069,
