,Unnamed: 0,i,Country_Region,Date,ConfirmedCases,Population Density (per sq. km),HDI,Testing By Date,Total Testing,Age dependency ratio (% of working-age population) (% of working-age population),Physician_per_thousand,hospibed,pop,Lockdown Date
0,0,0,Afghanistan,2020-01-22,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
1,1,5476,Afghanistan,2020-01-23,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
2,2,5475,Afghanistan,2020-01-24,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
3,3,5474,Afghanistan,2020-01-25,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
4,4,5473,Afghanistan,2020-01-26,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
5,5,5472,Afghanistan,2020-01-27,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
6,6,5471,Afghanistan,2020-01-28,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
7,7,5470,Afghanistan,2020-01-29,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
8,8,5469,Afghanistan,2020-01-30,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
9,9,5468,Afghanistan,2020-01-31,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
10,10,5467,Afghanistan,2020-02-01,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
11,11,5466,Afghanistan,2020-02-02,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
12,12,5465,Afghanistan,2020-02-03,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
13,13,5464,Afghanistan,2020-02-04,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
14,14,5477,Afghanistan,2020-02-05,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
15,15,5463,Afghanistan,2020-02-06,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
16,16,5461,Afghanistan,2020-02-07,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
17,17,5460,Afghanistan,2020-02-08,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
18,18,5459,Afghanistan,2020-02-09,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
19,19,5458,Afghanistan,2020-02-10,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
20,20,5457,Afghanistan,2020-02-11,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
21,21,5456,Afghanistan,2020-02-12,0,56.93776001,0.498,,,84.5872779704028,0.3039,0.5,"38,928,346",24/03/2020
