,Country_Region,Population Density (per sq. km),HDI,hospibed,Age Dependency Ratio (65+/Working Age),Physician_per_thousand
0,Afghanistan,56.93776001,0.498,0.5,4.763322814878401,0.3039
1,Albania,104.6122628,0.785,2.9,18.997890337666306,1.65
2,Algeria,17.73007507,0.754,1.9,9.62836054340959,1.83
3,Antigua and Barbuda,218.8318182,0.78,3.8,10.0219655636647,3.03
4,Argentina,16.2585101,0.825,5.0,17.520503679904802,3.96
5,Armenia,103.6802248,0.755,4.2,16.3355588056196,3.924
6,Australia,3.249129487,0.939,3.8,23.675412531747494,3.5874
7,Austria,107.2069267,0.908,7.6,28.7849528312483,5.1441
8,Azerbaijan,120.2653199,0.757,4.7,8.51116157728265,3.99
9,Bahamas,38.52547453,0.807,2.9,12.7509608214306,2.7158
10,Bahrain,2017.2737,0.846,6.8,3.04468036618035,1.315
11,Bangladesh,1239.5793119999996,0.608,0.8,7.662841603394709,0.5268
12,Barbados,666.6069767000001,0.8,5.8,22.659092596717898,2.4886
13,Belarus,46.7287999,0.8079999999999999,11.0,21.617685286412506,4.98
14,Belgium,377.2149273,0.916,6.2,28.866309537673203,3.9
15,Belize,16.79399386,0.708,1.3,5.95213551159089,1.1494
16,Benin,101.8539198,0.515,0.5,5.998464426458651,0.1646
17,Bhutan,19.77752777,0.612,1.7,7.12408869850706,0.3748
18,Bolivia,10.48014585,0.693,1.1,10.8728267092337,1.6111
19,Bosnia and Herzegovina,64.92048828,0.768,3.5,23.908613213288106,2.0003
20,Brazil,25.06171624,0.759,2.2,12.270187640806,2.1502
21,Brunei,81.39696395,0.853,2.7,6.3420041764417805,1.7701
22,Bulgaria,64.70353721,0.813,6.8,32.019888007588,3.9879
23,Burkina Faso,72.19128289,0.423,0.4,4.59574298028758,0.06
24,Burma,82.23861548,0.578,0.9,8.49920084303933,0.8640000000000001
25,Cambodia,92.05641287,0.5820000000000001,0.8,6.8610804293084,0.4759
26,Cameroon,53.34398891,0.556,1.3,5.84921312321064,0.1842
27,Canada,4.075308214,0.926,2.7,25.353318603269898,2.6102
28,Central African Republic,7.490412212000001,0.3670000000000001,1.0,6.876589840126551,0.0816
29,Chad,12.29173364,0.404,0.4,4.9349937824426515,0.0475
30,Chile,25.18944607,0.843,2.2,16.1618782912402,1.153
31,China,148.34883330000005,0.752,4.2,14.8453642785515,1.7855
32,Colombia,44.74870212,0.747,1.5,11.102014041498599,2.0835
33,Congo (Brazzaville),15.35684627,0.606,1.6,6.26222770127439,0.7069
34,Congo (Kinshasa),37.08259236,0.457,1.6,5.9565239099968315,0.107
35,Costa Rica,97.91306306,0.794,1.2,13.744117201445,1.719
36,Cote d'Ivoire,78.83405346,0.4920000000000001,0.4,5.3680336820636,0.2326
37,Croatia,73.077198,0.831,5.6,30.073198466627602,3.1244
38,Cuba,108.9995962,0.777,5.2,21.288534853917803,8.19
39,Cyprus,128.7083333,0.8690000000000001,3.4,19.234106891530896,2.55
40,Czechia,137.60288789999998,0.888,6.5,29.004866718299304,4.314
41,Denmark,138.0673017,0.929,2.5,30.823966183505398,4.4567
42,Djibouti,41.36842105,0.476,2.2,6.51125531756824,0.284
43,Dominica,95.5,0.715,3.8,10.91,1.7791
44,Dominican Republic,219.9785759,0.736,1.6,10.9548357456772,2.156
45,Ecuador,68.78868175,0.752,1.5,11.021329830090401,2.1219
46,Egypt,98.87346929,0.696,1.6,8.40644146531903,2.83
47,El Salvador,309.8814672,0.674,1.3,12.856531625262802,1.8889
48,Equatorial Guinea,46.66573975,0.591,2.1,4.74598569915603,0.4
49,Estonia,30.38610536,0.871,5.0,30.3085828262932,4.3728
50,Ethiopia,109.224559,0.463,0.3,6.305496494746599,0.1
51,Fiji,48.35703339,0.741,2.3,9.53118579234049,0.8374
52,Finland,18.15685565,0.92,4.4,34.0391176106056,3.808
53,France,122.3383957,0.901,6.5,31.702134820304604,3.6746
54,Gabon,8.224764233,0.7020000000000001,6.3,7.46101850663731,0.518
55,Gambia,225.3065217,0.46,1.1,4.47006146812109,0.1187
56,Georgia,65.27520207,0.78,2.6,22.5369112514664,5.192
57,Germany,237.37096980000004,0.936,8.3,32.7671018463102,4.2087
58,Ghana,130.8214292,0.5920000000000001,0.9,5.82598183797722,0.18
59,Greece,83.22473235,0.87,4.3,31.1920457704462,6.1082
60,Grenada,327.8058824,0.772,3.7,11.0081484898039,1.4471
61,Guatemala,160.9537794,0.65,0.6,7.79015573580197,1.1
62,Guinea,50.52221227,0.459,4.024199963,5.74088026187477,0.152
63,Guinea-Bissau,66.65394737,0.455,1.0,5.4086704838608215,0.2
64,Guyana,3.957348235,0.654,1.6,8.07545545271315,0.799
