,i,Country_Region,Date,ConfirmedCases,Population Density (per sq. km),HDI,Testing By Date,Total Testing
0,0,Afghanistan,2020-01-22,0,56.93776001,0.498,,
1,5476,Afghanistan,2020-01-23,0,56.93776001,0.498,,
2,5475,Afghanistan,2020-01-24,0,56.93776001,0.498,,
3,5474,Afghanistan,2020-01-25,0,56.93776001,0.498,,
4,5473,Afghanistan,2020-01-26,0,56.93776001,0.498,,
5,5472,Afghanistan,2020-01-27,0,56.93776001,0.498,,
6,5471,Afghanistan,2020-01-28,0,56.93776001,0.498,,
7,5470,Afghanistan,2020-01-29,0,56.93776001,0.498,,
8,5469,Afghanistan,2020-01-30,0,56.93776001,0.498,,
9,5468,Afghanistan,2020-01-31,0,56.93776001,0.498,,
10,5467,Afghanistan,2020-02-01,0,56.93776001,0.498,,
11,5466,Afghanistan,2020-02-02,0,56.93776001,0.498,,
12,5465,Afghanistan,2020-02-03,0,56.93776001,0.498,,
13,5464,Afghanistan,2020-02-04,0,56.93776001,0.498,,
14,5477,Afghanistan,2020-02-05,0,56.93776001,0.498,,
15,5463,Afghanistan,2020-02-06,0,56.93776001,0.498,,
16,5461,Afghanistan,2020-02-07,0,56.93776001,0.498,,
17,5460,Afghanistan,2020-02-08,0,56.93776001,0.498,,
18,5459,Afghanistan,2020-02-09,0,56.93776001,0.498,,
19,5458,Afghanistan,2020-02-10,0,56.93776001,0.498,,
20,5457,Afghanistan,2020-02-11,0,56.93776001,0.498,,
21,5456,Afghanistan,2020-02-12,0,56.93776001,0.498,,
22,5455,Afghanistan,2020-02-13,0,56.93776001,0.498,,
23,5454,Afghanistan,2020-02-14,0,56.93776001,0.498,,
24,5453,Afghanistan,2020-02-15,0,56.93776001,0.498,,
25,5452,Afghanistan,2020-02-16,0,56.93776001,0.498,,
26,5451,Afghanistan,2020-02-17,0,56.93776001,0.498,,
27,5450,Afghanistan,2020-02-18,0,56.93776001,0.498,,
28,5449,Afghanistan,2020-02-19,0,56.93776001,0.498,,
29,5462,Afghanistan,2020-02-20,0,56.93776001,0.498,,
30,5479,Afghanistan,2020-02-21,0,56.93776001,0.498,,
31,5494,Afghanistan,2020-02-22,0,56.93776001,0.498,,
32,5480,Afghanistan,2020-02-23,0,56.93776001,0.498,,
33,7739,Afghanistan,2020-02-24,1,56.93776001,0.498,,
34,7740,Afghanistan,2020-02-25,1,56.93776001,0.498,,
35,7741,Afghanistan,2020-02-26,1,56.93776001,0.498,,
36,7742,Afghanistan,2020-02-27,1,56.93776001,0.498,,
37,7743,Afghanistan,2020-02-28,1,56.93776001,0.498,,
38,7744,Afghanistan,2020-02-29,1,56.93776001,0.498,,
39,7745,Afghanistan,2020-03-01,1,56.93776001,0.498,,
40,7746,Afghanistan,2020-03-02,1,56.93776001,0.498,,
41,7728,Afghanistan,2020-03-03,1,56.93776001,0.498,,
42,7737,Afghanistan,2020-03-04,1,56.93776001,0.498,,
43,7727,Afghanistan,2020-03-05,1,56.93776001,0.498,,
44,7715,Afghanistan,2020-03-06,1,56.93776001,0.498,,
45,7707,Afghanistan,2020-03-07,1,56.93776001,0.498,,
46,8887,Afghanistan,2020-03-08,4,56.93776001,0.498,,
47,8836,Afghanistan,2020-03-09,4,56.93776001,0.498,,
48,9014,Afghanistan,2020-03-10,5,56.93776001,0.498,,
49,9210,Afghanistan,2020-03-11,7,56.93776001,0.498,,
50,9194,Afghanistan,2020-03-12,7,56.93776001,0.498,,
51,9153,Afghanistan,2020-03-13,7,56.93776001,0.498,,
52,9554,Afghanistan,2020-03-14,11,56.93776001,0.498,,
53,9932,Afghanistan,2020-03-15,16,56.93776001,0.498,,
54,10114,Afghanistan,2020-03-16,21,56.93776001,0.498,,
55,10130,Afghanistan,2020-03-17,22,56.93776001,0.498,,
56,10128,Afghanistan,2020-03-18,22,56.93776001,0.498,,
57,10135,Afghanistan,2020-03-19,22,56.93776001,0.498,,
58,10204,Afghanistan,2020-03-20,24,56.93776001,0.498,,
59,10211,Afghanistan,2020-03-21,24,56.93776001,0.498,,
60,10545,Afghanistan,2020-03-22,40,56.93776001,0.498,,
61,10546,Afghanistan,2020-03-23,40,56.93776001,0.498,,
62,10958,Afghanistan,2020-03-24,74,56.93776001,0.498,,
63,11036,Afghanistan,2020-03-25,84,56.93776001,0.498,,
64,11119,Afghanistan,2020-03-26,94,56.93776001,0.498,,
65,11242,Afghanistan,2020-03-27,110,56.93776001,0.498,,
66,11240,Afghanistan,2020-03-28,110,56.93776001,0.498,,
67,11302,Afghanistan,2020-03-29,120,56.93776001,0.498,,
68,11515,Afghanistan,2020-03-30,170,56.93776001,0.498,,
69,11529,Afghanistan,2020-03-31,174,56.93776001,0.498,,
70,11739,Afghanistan,2020-04-01,237,56.93776001,0.498,,
71,11825,Afghanistan,2020-04-02,273,56.93776001,0.498,,
72,11845,Afghanistan,2020-04-03,281,56.93776001,0.498,,
73,11874,Afghanistan,2020-04-04,299,56.93776001,0.498,,
74,5500,Albania,2020-01-22,0,104.6122628,0.785,,
75,5499,Albania,2020-01-23,0,104.6122628,0.785,,
76,5498,Albania,2020-01-24,0,104.6122628,0.785,,
77,5497,Albania,2020-01-25,0,104.6122628,0.785,,
78,5496,Albania,2020-01-26,0,104.6122628,0.785,,
79,5509,Albania,2020-01-27,0,104.6122628,0.785,,
80,5495,Albania,2020-01-28,0,104.6122628,0.785,,
81,5493,Albania,2020-01-29,0,104.6122628,0.785,,
82,5492,Albania,2020-01-30,0,104.6122628,0.785,,
83,5491,Albania,2020-01-31,0,104.6122628,0.785,,
84,5490,Albania,2020-02-01,0,104.6122628,0.785,,
85,5489,Albania,2020-02-02,0,104.6122628,0.785,,
86,5488,Albania,2020-02-03,0,104.6122628,0.785,,
87,5487,Albania,2020-02-04,0,104.6122628,0.785,,
88,5486,Albania,2020-02-05,0,104.6122628,0.785,,
89,5485,Albania,2020-02-06,0,104.6122628,0.785,,
90,5484,Albania,2020-02-07,0,104.6122628,0.785,,
91,5483,Albania,2020-02-08,0,104.6122628,0.785,,
92,5482,Albania,2020-02-09,0,104.6122628,0.785,,
93,5481,Albania,2020-02-10,0,104.6122628,0.785,,
94,5448,Albania,2020-02-11,0,104.6122628,0.785,,
95,5447,Albania,2020-02-12,0,104.6122628,0.785,,
96,5446,Albania,2020-02-13,0,104.6122628,0.785,,
97,5430,Albania,2020-02-14,0,104.6122628,0.785,,
98,5412,Albania,2020-02-15,0,104.6122628,0.785,,
99,5411,Albania,2020-02-16,0,104.6122628,0.785,,
100,5410,Albania,2020-02-17,0,104.6122628,0.785,,
101,5409,Albania,2020-02-18,0,104.6122628,0.785,,
102,5408,Albania,2020-02-19,0,104.6122628,0.785,,
103,5407,Albania,2020-02-20,0,104.6122628,0.785,,
104,5406,Albania,2020-02-21,0,104.6122628,0.785,,
