Country Name,Country Code,2017 [YR2017],Domestic general government health expenditure (% of general government expenditure)
Afghanistan,AFG,2.319115587,
Albania,ALB,14.67889696,
Algeria,DZA,10.73412299,
American Samoa,ASM,..,
Andorra,AND,14.01755512,
Angola,AGO,5.428365618,
Antigua and Barbuda,ATG,9.478637576,
Argentina,ARG,16.05131179,
Armenia,ARM,5.273468047,
Aruba,ABW,..,
Australia,AUS,17.79732704,
Austria,AUT,15.3053984,
Azerbaijan,AZE,2.814341895,
"Bahamas, The",BHS,11.25084981,
Bahrain,BHR,8.493837714,
Bangladesh,BGD,2.994463034,
Barbados,BRB,9.0802975,
Belarus,BLR,10.61909571,
Belgium,BEL,15.31389654,
Belize,BLZ,10.99099591,
Benin,BEN,4.575169459,
Bermuda,BMU,..,
Bhutan,BTN,7.900569588,
Bolivia,BOL,11.52297035,
Bosnia and Herzegovina,BIH,15.47477245,
Botswana,BWA,14.31547403,
Brazil,BRA,10.25529578,
British Virgin Islands,VGB,..,
Brunei Darussalam,BRN,6.153300032,
Bulgaria,BGR,11.98597699,
Burkina Faso,BFA,9.991507232,
Burundi,BDI,8.521398902,
Cabo Verde,CPV,9.855094552,
Cambodia,KHM,6.078748778,
Cameroon,CMR,3.137207404,
Canada,CAN,19.32792515,
Cayman Islands,CYM,..,
Central African Republic,CAF,5.034865066,
Chad,TCD,4.678363353,
Channel Islands,CHI,..,
Chile,CHL,17.73182154,
China,CHN,9.07209143,
Colombia,COL,17.48571545,
Comoros,COM,3.365019336,
"Congo, Dem. Rep.",COD,3.32910046,
"Congo, Rep.",COG,3.398465365,
Costa Rica,CRI,26.90707147,
Cote d'Ivoire,CIV,5.095548555,
Croatia,HRV,12.40758151,
Cuba,CUB,15.874964,
Curacao,CUW,..,
Cyprus,CYP,7.581724226,
Czech Republic,CZE,15.17961919,
Denmark,DNK,16.60234183,
Djibouti,DJI,4.069509357,
Dominica,DMA,7.270408422,
Dominican Republic,DOM,15.59820473,
Ecuador,ECU,11.92279309,
"Egypt, Arab Rep.",EGY,5.419923365,
El Salvador,SLV,19.24423426,
Equatorial Guinea,GNQ,2.943397872,
Eritrea,ERI,2.676733956,
Estonia,EST,12.22489402,
Eswatini,SWZ,10.0201793,
Ethiopia,ETH,4.788336903,
Faroe Islands,FRO,..,
Fiji,FJI,7.161913812,
Finland,FIN,13.0393818,
France,FRA,15.46813548,
French Polynesia,PYF,..,
Gabon,GAB,9.715089947,
"Gambia, The",GMB,3.060641699,
Georgia,GEO,9.519025683,
Germany,DEU,19.88083422,
Ghana,GHA,6.065584347,
Gibraltar,GIB,..,
Greece,GRC,10.22667289,
Greenland,GRL,..,
Grenada,GRD,8.996701241,
Guam,GUM,..,
Guatemala,GTM,17.21218377,
Guinea,GIN,4.113378376,
Guinea-Bissau,GNB,3.008771129,
Guyana,GUY,8.542327583,
Haiti,HTI,5.239011347,
Honduras,HND,11.71219945,
"Hong Kong SAR, China",HKG,..,
Hungary,HUN,10.07697806,
Iceland,ISL,15.73937535,
India,IND,3.37504223,
Indonesia,IDN,8.728535473,
"Iran, Islamic Rep.",IRN,22.9359895,
Iraq,IRQ,4.983551428,
Ireland,IRL,20.04306167,
Isle of Man,IMN,..,
Israel,ISR,11.92770302,
Italy,ITA,13.42173666,
Jamaica,JAM,13.31564188,
Japan,JPN,23.64429086,
Jordan,JOR,12.39200085,
Kazakhstan,KAZ,7.869395614,
Kenya,KEN,7.982115448,
Kiribati,KIR,6.851601601,
"Korea, Dem. People’s Rep.",PRK,..,
"Korea, Rep.",KOR,13.41530681,
Kosovo,XKX,..,
Kuwait,KWT,8.920291811,
Kyrgyz Republic,KGZ,6.187602878,
Lao PDR,LAO,4.044601694,
Latvia,LVA,9.001868963,
Lebanon,LBN,13.50223422,
Lesotho,LSO,11.82114407,
Liberia,LBR,4.204146937,
Libya,LBY,..,
Liechtenstein,LIE,..,
Lithuania,LTU,12.77443171,
Luxembourg,LUX,10.79562753,
"Macao SAR, China",MAC,..,
Madagascar,MDG,15.02132118,
Malawi,MWI,9.775461257,
Malaysia,MYS,8.927760273,
Maldives,MDV,21.77749574,
Mali,MLI,5.785215273,
Malta,MLT,16.47617668,
Marshall Islands,MHL,9.487447143,
Mauritania,MRT,6.065612286,
Mauritius,MUS,9.968497604,
Mexico,MEX,11.04861051,
"Micronesia, Fed. Sts.",FSM,4.945225269,
Moldova,MDA,11.58240363,
Monaco,MCO,6.749906391,
Mongolia,MNG,8.152467757,
Montenegro,MNE,..,
Morocco,MAR,7.489150017,
Mozambique,MOZ,4.664210975,
Myanmar,MMR,3.493880481,
Namibia,NAM,10.65234095,
Nauru,NRU,5.596224219,
Nepal,NPL,4.50787805,
Netherlands,NLD,15.30429572,
New Caledonia,NCL,..,
New Zealand,NZL,19.28811669,
Nicaragua,NIC,18.6187014,
Niger,NER,9.650692344,
Nigeria,NGA,4.601447657,
North Macedonia,MKD,12.82324195,
Northern Mariana Islands,MNP,..,
Norway,NOR,17.87735671,
Oman,OMN,7.565734535,
Pakistan,PAK,4.303038493,
Palau,PLW,17.38563329,
Panama,PAN,20.08094043,
Papua New Guinea,PNG,9.154981375,
Paraguay,PRY,10.47871336,
Peru,PER,14.89787847,
Philippines,PHL,7.126046717,
Poland,POL,10.94306111,
Portugal,PRT,13.01325709,
Puerto Rico,PRI,..,
Qatar,QAT,6.292983145,
Romania,ROU,12.05330119,
Russian Federation,RUS,8.783560991,
Rwanda,RWA,8.882761002,
Samoa,WSM,11.57773361,
San Marino,SMR,12.15865016,
Sao Tome and Principe,STP,10.76225042,
Saudi Arabia,SAU,10.06431729,
Senegal,SEN,3.888149932,
Serbia,SRB,11.91802472,
Seychelles,SYC,10.13922021,
Sierra Leone,SLE,7.91080296,
Singapore,SGP,12.56894618,
Sint Maarten (Dutch part),SXM,..,
Slovak Republic,SVK,13.2689476,
Slovenia,SVN,13.61753494,
Solomon Islands,SLB,7.165841758,
Somalia,SOM,..,
South Africa,ZAF,13.33857626,
South Sudan,SSD,2.106205188,
Spain,ESP,15.28467387,
Sri Lanka,LKA,8.472394943,
St. Kitts and Nevis,KNA,8.152938634,
St. Lucia,LCA,8.93580988,
St. Martin (French part),MAF,..,
St. Vincent and the Grenadines,VCT,9.459785372,
Sudan,SDN,8.284141868,
Suriname,SUR,11.77680939,
Sweden,SWE,18.69488358,
Switzerland,CHE,11.02358699,
Syrian Arab Republic,SYR,..,
Tajikistan,TJK,5.884055421,
Tanzania,TZA,9.521435201,
Thailand,THA,15.0277853,
Timor-Leste,TLS,5.187302828,
Togo,TGO,5.052941665,
Tonga,TON,7.383985817,
Trinidad and Tobago,TTO,11.21120453,
Tunisia,TUN,13.62780184,
Turkey,TUR,9.689014405,
Turkmenistan,TKM,8.713923395,
Turks and Caicos Islands,TCA,..,
Tuvalu,TUV,10.00000015,
