"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","PPI","TOT_MKT","IDX2015","M","2011-01",99.20822,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-02",99.595,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-03",100.1752,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-04",100.5619,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-05",100.6586,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-06",100.6586,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-07",100.7553,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-08",100.6586,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-09",100.852,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-10",100.6586,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-11",100.6586,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-12",100.5619,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-01",100.9487,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-02",101.1421,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-03",101.5289,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-04",101.9157,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-05",101.819,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-06",101.4322,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-07",101.2388,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-08",101.7223,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-09",102.0124,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-10",101.9157,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-11",101.6256,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-12",101.3355,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-01",101.5289,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-02",101.6256,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-03",101.6256,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-04",101.4322,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-05",101.3355,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-06",101.3355,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-07",101.2388,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-08",101.3355,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-09",101.3355,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-10",101.1421,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-11",101.0454,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-12",101.0454,
"AUT","PPI","TOT_MKT","IDX2015","M","2014-01",101.0454,
